experiment,variant,dataset,stage,method,rmse_mean,rmse_std,mae_mean,mae_std,nasa_mean,nasa_std,crps_mean,crps_std,picp_mean,picp_std,mpiw_mean,mpiw_std,interval_score_mean,interval_score_std,calib_err_mean,calib_err_std,pred_sd_mean,pred_sd_std,fit_s_mean,fit_s_std,params_mean,params_std,censored_frac_mean,censored_frac_std,n_seeds,seeds,axis:dataset.censor_frac,train_rows_mean,train_rows_std,n_dead_mean,n_dead_std,crps_full_mean,crps_full_std,crps_exact_marginal_mean,crps_exact_marginal_std,crps_imputed_mean,crps_imputed_std,rmse_full_mean,rmse_full_std,rmse_exact_marginal_mean,rmse_exact_marginal_std,rmse_imputed_mean,rmse_imputed_std,picp_exact_marginal_mean,picp_exact_marginal_std,picp_imputed_mean,picp_imputed_std
synthetic_rul,censor_frac-0.2,synthetic,rul,SurvivalPC (drop censored),24.42971723204389,2.169231669791505,19.115360183263263,1.240865681630575,58314.78685543032,50873.719427444084,11.600669302623073,1.710753570946641,0.512700553264371,0.026191457303643743,61.13163765682534,8.168951682324211,110.15177416878862,8.2111529451216,0.18039555833457735,0.055837420490107946,36.05017217000326,1.5275178193156356,2.9290988445281982,0.45576331278145266,16320.0,0.0,0.11205488443374634,0.042656028947375677,3,"[0, 1, 2]",0.2,,,,,,,,,,,,,,,,,,,,
synthetic_rul,censor_frac-0.2,synthetic,rul,SurvivalPC (exact censored lik.),24.20791976862105,2.8303661464208965,18.659610351810933,1.3044007724090316,69095.06013495818,63372.99116604832,11.563735610656012,2.180607227671529,0.5077518114483541,0.023206901136280596,60.579432032145085,7.503271008467586,113.48790541595231,12.066464785783584,0.17286068711349967,0.045760672148749675,36.649645487467446,0.9957444622267057,4.657823483149211,0.24752879043191564,16320.0,0.0,0.11205488443374634,0.042656028947375677,3,"[0, 1, 2]",0.2,,,,,,,,,,,,,,,,,,,,
synthetic_rul,censor_frac-0.2,synthetic,rul,ridge regression,24.88927854964157,1.7934377896674374,20.134006470408952,1.2262846414813755,35781.32986194007,27811.381549095993,,,,,,,,,,,,,0.0014905929565429688,0.00010602632638919843,,,,,3,"[0, 1, 2]",0.2,2087.0,179.01675899200052,,,,,,,,,,,,,,,,,,
synthetic_rul,censor_frac-0.2,synthetic,rul,MLP regressor,27.719254378905177,1.7036486544488425,21.60462897939671,1.2951204215870162,157039.16265242398,165806.69910578663,,,,,,,,,,,,,0.32112661997477215,0.029948003925728377,,,,,3,"[0, 1, 2]",0.2,2087.0,179.01675899200052,,,,,,,,,,,,,,,,,,
synthetic_rul,censor_frac-0.2,synthetic,rul,quantile reg. + conformal (CQR),27.927054544470007,1.394773479211306,21.454793586423452,0.8079315805530336,210951.1306906181,238498.51783588194,,,0.8251659396127327,0.03394169763621781,79.47002648846477,8.74507589147629,127.16544942254082,7.316529178435777,,,,,0.3340051968892415,0.05209049788450479,,,,,3,"[0, 1, 2]",0.2,2087.0,179.01675899200052,,,,,,,,,,,,,,,,,,
synthetic_rul,censor_frac-0.35,synthetic,rul,SurvivalPC (drop censored),25.43631141451948,2.443143451190047,20.23942853189379,2.0104884441980744,38727.74394271033,22397.251953259958,12.551062824557492,1.3981963465881468,0.4963534333493704,0.04223582343061145,58.97741383972812,3.4406686210635407,112.43453935046323,16.387436483029653,0.16122126051835114,0.05147469668286158,37.084041595458984,1.4378893102059054,1.9936148325602214,0.013133004597305376,16320.0,0.0,0.3301461338996887,0.03938054915051652,3,"[0, 1, 2]",0.35,,,,,,,,,,,,,,,,,,,,
synthetic_rul,censor_frac-0.35,synthetic,rul,SurvivalPC (exact censored lik.),25.497787336357458,1.9715108027541077,19.438311244007977,1.860696533491874,56467.586321594914,21878.81812859141,12.653020400404804,1.0090828137368169,0.4871996303919855,0.021613717396532495,56.1653882775864,5.199590208961786,109.65500938904636,9.108025191711318,0.14880107408610896,0.02915763333426646,38.32618840535482,1.2029943994755614,4.423174699147542,0.0359366345385367,16320.0,0.0,0.3301461338996887,0.03938054915051652,3,"[0, 1, 2]",0.35,,,,,,,,,,,,,,,,,,,,
synthetic_rul,censor_frac-0.35,synthetic,rul,ridge regression,25.297223744461025,2.348149332863428,20.851820217310337,2.054219342014885,21379.86249566473,7448.711719733493,,,,,,,,,,,,,0.0010731220245361328,7.250394839475064e-05,,,,,3,"[0, 1, 2]",0.35,1433.3333333333333,69.34935712271118,,,,,,,,,,,,,,,,,,
synthetic_rul,censor_frac-0.35,synthetic,rul,MLP regressor,29.15736103078068,2.028786652721389,23.19465107475052,1.9320054573268577,55497.05941722211,12302.797949278485,,,,,,,,,,,,,0.18704819679260254,0.011297505709620903,,,,,3,"[0, 1, 2]",0.35,1433.3333333333333,69.34935712271118,,,,,,,,,,,,,,,,,,
synthetic_rul,censor_frac-0.35,synthetic,rul,quantile reg. + conformal (CQR),30.724688698730915,2.016804338175396,24.155314858167017,1.9882832943451398,73821.36000401857,15446.564059763929,,,0.8294967833806187,0.052337581115399975,89.01704877802989,12.751272284304125,145.51330543311553,17.525627275341666,,,,,0.21976002057393393,0.02636603875792669,,,,,3,"[0, 1, 2]",0.35,1433.3333333333333,69.34935712271118,,,,,,,,,,,,,,,,,,
