experiment,variant,dataset,stage,method,loc_auroc_mean,loc_auroc_std,prec_at_k_mean,prec_at_k_std,n_windows_mean,n_windows_std,loc_auroc[spike]_mean,loc_auroc[spike]_std,loc_auroc[offset]_mean,loc_auroc[offset]_std,loc_auroc[drift]_mean,loc_auroc[drift]_std,loc_auroc[decouple]_mean,loc_auroc[decouple]_std,loc_auroc[desync]_mean,loc_auroc[desync]_std,deletion_auc_mean,deletion_auc_std,n_seeds,seeds,axis:eval.shap_samples,max_residual_nats_mean,max_residual_nats_std,mean_residual_nats_mean,mean_residual_nats_std
synthetic_explain,shap_samples-32,synthetic,explain,PC conditional (exact),0.9057745390462296,0.013425265579873738,0.761968067242788,0.045071502106388175,159.0,12.409673645990857,0.9800555979958204,0.011338244786234436,0.9915240344467048,0.004579967796234458,0.9734037520982899,0.007899368459380815,0.6101029356001972,0.06341284323989765,0.8353539580847222,0.08368573793270521,0.43078743033596734,0.12145631504550275,5,"[0, 1, 2, 3, 4]",32,,,,
synthetic_explain,shap_samples-32,synthetic,explain,PC marginal (exact),0.8432274636444574,0.01224202964675029,0.5921906603575655,0.026953522504936697,159.0,12.409673645990857,0.9943981114122259,0.004612885549062739,0.9098092044759032,0.0127895954102175,0.96925983136117,0.019050558667399842,0.5699992109439475,0.04574410169072678,0.5128827832290805,0.050678817278948754,0.4223942377807222,0.13529216859891752,5,"[0, 1, 2, 3, 4]",32,,,,
synthetic_explain,shap_samples-32,synthetic,explain,PC structural (exact),0.7699184382297017,0.09130986517517264,0.6220785856003337,0.057206366707185805,159.0,12.409673645990857,0.7094484262286135,0.1431023364447764,0.8591457949276762,0.07318604361694069,0.7607347067964947,0.12071432628070154,0.641021578904075,0.10337016384373968,0.8660556772171148,0.055056351597886674,0.49979880897117496,0.10481159013783643,5,"[0, 1, 2, 3, 4]",32,,,,
synthetic_explain,shap_samples-32,synthetic,explain,PC Shapley (exact conditionals),0.9040162390966519,0.012635401763557277,0.7608322761283295,0.04750659133659262,159.0,12.409673645990857,0.9912436746024887,0.005304976248151364,0.9897203312811534,0.0068961376408085825,0.977038999316407,0.013175915772766347,0.5993794422587243,0.054079541785377584,0.8175845376484208,0.08203431601528417,0.4505758685429361,0.1085322943721244,5,"[0, 1, 2, 3, 4]",32,,,,
synthetic_explain,shap_samples-32,synthetic,explain,Gaussian conditional (exact),0.7792523545221973,0.028628125036222963,0.6850434629013104,0.056741758720254276,159.0,12.409673645990857,0.9924230642831852,0.008220236304097725,0.8611844666636934,0.025906538130618287,0.795411133329561,0.08915267961496566,0.7681978705028867,0.019839939383001822,0.7458453198610439,0.06359115530351778,0.5908993668070842,0.06627908613149097,5,"[0, 1, 2, 3, 4]",32,,,,
synthetic_explain,shap_samples-32,synthetic,explain,AE reconstruction (per channel),0.8820785967044061,0.02452290743876724,0.7123513732791659,0.059125092028282346,159.0,12.409673645990857,0.9999660786974219,7.585033844979521e-05,0.9289747246710389,0.03849473172658103,0.9310850084576969,0.04091855203582314,0.658107082040931,0.040881363077952634,0.7928544346972612,0.05083512081868102,0.5450217145768436,0.08129796681992113,5,"[0, 1, 2, 3, 4]",32,,,,
synthetic_explain,shap_samples-32,synthetic,explain,AE sampling-SHAP (32/ch),0.5126655045284931,0.029028692257376455,0.13167290150334826,0.025592182214736442,159.0,12.409673645990857,0.5978688220299482,0.06150102813529284,0.49699365838251797,0.044816952262156276,0.5004454660583157,0.043449149304802245,0.47007888012076454,0.03815385979422569,0.49259138844904254,0.03974725015800317,0.7692271995115825,0.03432234287419974,5,"[0, 1, 2, 3, 4]",32,,,,
synthetic_explain,shap_samples-32,synthetic,explain,z-score (per channel),0.7760195070423282,0.01324084005220843,0.5224908251139453,0.025079515980517008,159.0,12.409673645990857,0.9989777553868716,0.0007225359533277436,0.8051526473798593,0.02070657998874805,0.8642576664687238,0.019348708220573465,0.5337993924358545,0.02668980504531087,0.5051147569233256,0.037673474066447006,0.6410639190248364,0.07109891031667923,5,"[0, 1, 2, 3, 4]",32,,,,
synthetic_explain,shap_samples-32,synthetic,explain,PC chain-rule completeness,,,,,,,,,,,,,,,,,,,5,"[0, 1, 2, 3, 4]",32,3.0517578125e-05,0.0,1.987069845199585e-06,7.448326455302755e-07
synthetic_explain,shap_samples-128,synthetic,explain,PC conditional (exact),0.9057745390462296,0.013425265579873738,0.761968067242788,0.045071502106388175,159.0,12.409673645990857,0.9800555979958204,0.011338244786234436,0.9915240344467048,0.004579967796234458,0.9734037520982899,0.007899368459380815,0.6101029356001972,0.06341284323989765,0.8353539580847222,0.08368573793270521,0.43078743033596734,0.12145631504550275,5,"[0, 1, 2, 3, 4]",128,,,,
