experiment,variant,dataset,stage,method,auroc_mean,auroc_std,ap_mean,ap_std,auroc[decouple]_mean,auroc[decouple]_std,auroc[desync]_mean,auroc[desync]_std,auroc[drift]_mean,auroc[drift]_std,auroc[offset]_mean,auroc[offset]_std,auroc[organic]_mean,auroc[organic]_std,auroc[spike]_mean,auroc[spike]_std,fit_s_mean,fit_s_std,params_mean,params_std,train_nll_mean,train_nll_std,n_seeds,seeds,dead_mean,dead_std
synthetic_ad,default,synthetic,ad,"RegionGraphPC [chain, K=6]",0.9473507748645588,0.012226482238162344,0.9288575915611513,0.01649249771451585,0.6207635477409905,0.033855058237778395,0.8559172389213199,0.053268636134445026,0.9981742114438358,0.0025212108040236878,0.9972459146382932,0.0019971362390086016,0.9999962052216151,8.4853824282879e-06,0.9623296129101192,0.0155434825023086,1.1813600063323975,0.30151238874593894,2964.0,0.0,30.38052635192871,13.946057168352782,5,"[0, 1, 2, 3, 4]",,
synthetic_ad,default,synthetic,ad,z-score (per channel),0.8679882356383036,0.01921930384399421,0.789999297328279,0.04953161130323774,0.4731966335650302,0.059538082287453234,0.49452006640437685,0.10904561550609514,0.9355690469118041,0.04431310193563826,0.845308869963634,0.055520906208247504,0.9690576583470417,0.009037741683534625,0.9934927941644455,0.004564882955017967,0.01437082290649414,0.0015827649388771552,,,,,5,"[0, 1, 2, 3, 4]",,
synthetic_ad,default,synthetic,ad,moving-average residual,0.7559904360151388,0.020795903975356814,0.5342924425554209,0.038465876147886574,0.5572055394717802,0.08439736542337767,0.5485087903064964,0.075340035000513,0.8727429208633147,0.05517238939808937,0.7407355426470923,0.038885238077245504,0.7634461829375987,0.04366807703993298,0.9999889258028792,2.4762657558161368e-05,0.06803898811340332,0.0034735491929339057,,,,,5,"[0, 1, 2, 3, 4]",,
synthetic_ad,default,synthetic,ad,diagonal Gaussian,0.8359010440888064,0.04494647002319728,0.766841694724929,0.05947730982947674,0.4992573689143609,0.06465269342502335,0.4871199499474928,0.08068624587782229,0.8898272794421176,0.03672739136846177,0.7790994666454047,0.0778706629830743,0.9667172976583409,0.05484027428877553,0.78210400409378,0.05844633719201569,0.014876127243041992,0.0020483127496099497,,,,,5,"[0, 1, 2, 3, 4]",,
synthetic_ad,default,synthetic,ad,PCA reconstruction,0.8427379274521482,0.015183726042414988,0.7495122689451081,0.033526362995584195,0.475254632179859,0.05518348285231767,0.6422679668941409,0.08501956689677961,0.8193851624587328,0.027744857542636277,0.7833308664317604,0.04407095395999166,0.9891416587156708,0.00981130379847469,0.6730091726485785,0.02076887010930133,0.016972970962524415,0.002098884547452877,,,,,5,"[0, 1, 2, 3, 4]",,
synthetic_ad,default,synthetic,ad,1-NN distance,0.9424895666809533,0.014184948056219395,0.9197164865444616,0.024055584818157158,0.5920943268255978,0.04783110538326133,0.8220978288726288,0.08014109825452483,0.9912034646847797,0.006304950336938044,0.9914705445140349,0.005613757110423462,0.999657522503661,0.0004886439324077672,0.9837028822998546,0.011474476114233353,0.025014209747314452,0.011624861273215215,,,,,5,"[0, 1, 2, 3, 4]",,
synthetic_ad,default,synthetic,ad,Mahalanobis,0.9427950254934417,0.01194517325209744,0.9209534423932796,0.015561279318452723,0.6573166271883706,0.03662676342854033,0.7819223007493991,0.06877589191215479,0.9877999322491593,0.012058535143333002,0.9896486958193685,0.008021066605566549,0.9944050597031815,0.006508065742285178,0.9998427505630998,0.000237621994203515,0.028281974792480468,0.0028494557725685077,,,,,5,"[0, 1, 2, 3, 4]",,
synthetic_ad,default,synthetic,ad,Isolation Forest,0.8435624736446874,0.014773694311719906,0.7471980455013187,0.02498003729283139,0.5107673874590616,0.05355978424861266,0.6633485145051451,0.0854678463804236,0.8485811134544784,0.04125196264661699,0.8149001220389458,0.022441895637104338,0.9925858256989584,0.00802428801366592,0.5619804207854756,0.05687922961257708,0.11425962448120117,0.0017468623544821774,,,,,5,"[0, 1, 2, 3, 4]",,
synthetic_ad,default,synthetic,ad,GMM (8 comp.),0.804780695790497,0.005547871971493975,0.45547635207535936,0.019805396051705598,0.6264732905977242,0.03547104043715659,0.6905508950188524,0.05483829100220459,0.8244067808878629,0.012464000788640487,0.8307369766961414,0.01647475841246938,0.8286587265727192,0.0157265395464172,0.9074018859833434,0.02627067796257521,0.0668144702911377,0.013235450088261118,,,,,5,"[0, 1, 2, 3, 4]",,
synthetic_ad,default,synthetic,ad,conv autoencoder,0.9543872889288423,0.011524656213556105,0.9400937050355702,0.016271500228842044,0.6668815114831326,0.0412816493328668,0.8467766494659712,0.06032805356397867,0.9984277810434904,0.0015530652880261725,0.9954250058826656,0.004982926791444365,0.9999146174863387,0.00019092110463622946,0.9987427816082931,0.0014150640859765052,0.2882979869842529,0.018690378778609684,,,,,5,"[0, 1, 2, 3, 4]",,
synthetic_ad,default,synthetic,ad,Deep SVDD,0.9157981031889474,0.023584209514170368,0.8772045357329418,0.035468496872243696,0.5435262329423036,0.05154865817210138,0.73241141902445,0.09224914712870752,0.9507216201422299,0.0319015384900836,0.9301551180670435,0.04027668942937669,0.9986962281160026,0.00201763415643046,0.9471142747247141,0.020995882303806765,0.04676904678344727,0.011739990714630272,,,,,5,"[0, 1, 2, 3, 4]",,
synthetic_ad,default,synthetic,ad,PC · 3 dead (exact marginal),0.9356224022453338,0.015273804352224652,0.9111265750259955,0.020856562801848368,0.616584008638043,0.05689655249314372,0.8108411083953232,0.054439167937456845,0.9907056781714385,0.010343470753246379,0.9784864436657514,0.015353251494275275,0.9999811794911986,3.740038372336567e-05,0.916839975177569,0.02897584418489912,,,,,,,5,"[0, 1, 2, 3, 4]",3.0,0.0
synthetic_ad,default,synthetic,ad,PC · 3 dead (mean-imputed),0.8999583914659264,0.018180557167041707,0.8612919229858849,0.02549025228784595,0.5491774288897968,0.09152591358901106,0.7489282860391441,0.07115603539347957,0.9437099164492118,0.056025636227118335,0.9084891048699462,0.03908970935136543,0.9948267901302833,0.007684282721937232,0.795758210507031,0.1295817863398161,,,,,,,5,"[0, 1, 2, 3, 4]",3.0,0.0
synthetic_ad,default,synthetic,ad,z-score (per channel) · 3 dead (imputed),0.8379305654556178,0.0268878723743571,0.7416501737529393,0.037032457838046345,0.4765278839717764,0.04762853903264699,0.4777396708437883,0.11045267245978535,0.9196567316158154,0.049189938405090075,0.7945864460823737,0.027766648121065305,0.9384566546348869,0.052533918806664665,0.9381829928886409,0.015824024335265446,,,,,,,5,"[0, 1, 2, 3, 4]",3.0,0.0
synthetic_ad,default,synthetic,ad,moving-average residual · 3 dead (imputed),0.731616291537565,0.030740224684485118,0.5053287824411588,0.027984606485173594,0.5454282429257573,0.08346190041314705,0.5304771752846434,0.0736362869194547,0.8484788079680203,0.06163242914683884,0.7157552508311391,0.0410215305025316,0.7398131251766671,0.059567842950751695,0.955355830582055,0.023062081681338296,,,,,,,5,"[0, 1, 2, 3, 4]",3.0,0.0
synthetic_ad,default,synthetic,ad,diagonal Gaussian · 3 dead (imputed),0.7988191743341239,0.07530948414185298,0.7234918554427666,0.07580852803452118,0.48965585724336813,0.05255191157750296,0.4817733223357575,0.08835531579988505,0.8556180095454579,0.017919569401328404,0.742456002650045,0.07237787414783,0.9207799661260839,0.11919617594179578,0.7507481694900293,0.0500094744225814,,,,,,,5,"[0, 1, 2, 3, 4]",3.0,0.0
synthetic_ad,default,synthetic,ad,PC · structural-only score,0.942807905547377,0.011689161949292136,0.9170882137447809,0.016851031835867593,0.6809607788654384,0.025645738971473153,0.8891363015525163,0.04738962298784936,0.9845105409500918,0.01470797069450427,0.9824785857955778,0.020457685407305956,0.9983436842320831,0.0012316921581226794,0.8661489932871586,0.04390571678511604,,,,,,,5,"[0, 1, 2, 3, 4]",,
